County Name,Median Home Price Q4 2023,Monthly Payment Q4 2023,Monthly Payment Q4 2022
"Providence County,  Rhode Island","$393,890 ","$2,430 ","$2,090 "
"Virginia Beach city,  Virginia","$393,420 ","$2,430 ","$2,150 "
"Ravalli County,  Montana","$393,320 ","$2,430 ","$2,200 "
"Linn County,  Oregon","$392,930 ","$2,420 ","$2,240 "
"Hillsborough County,  Florida","$392,440 ","$2,420 ","$2,130 "
"Carson City,  Nevada","$391,910 ","$2,420 ","$2,270 "
"DuPage County,  Illinois","$390,300 ","$2,410 ","$2,120 "
"Frederick County,  Virginia","$390,160 ","$2,410 ","$2,130 "
"Madison County,  Montana","$389,990 ","$2,410 ","$2,180 "
"Chesapeake city,  Virginia","$388,540 ","$2,400 ","$2,120 "
"Boone County,  Indiana","$388,240 ","$2,400 ","$2,090 "
"Powhatan County,  Virginia","$388,030 ","$2,390 ","$2,070 "
"Manassas Park city,  Virginia","$387,970 ","$2,390 ","$2,150 "
"York County,  South Carolina","$387,890 ","$2,390 ","$2,130 "
"Hennepin County,  Minnesota","$387,840 ","$2,390 ","$2,190 "
"Bonner County,  Idaho","$387,600 ","$2,390 ","$2,200 "
"Franklin County,  Washington","$387,230 ","$2,390 ","$2,210 "
"Hinsdale County,  Colorado","$385,930 ","$2,380 ","$2,140 "
"Hays County,  Texas","$385,890 ","$2,380 ","$2,320 "
"New Kent County,  Virginia","$385,530 ","$2,380 ","$2,060 "
"Aleutians West Census Area,  Alaska","$385,130 ","$2,380 ","$2,190 "
"Pinellas County,  Florida","$384,410 ","$2,370 ","$2,090 "
"Warren County,  New Jersey","$383,210 ","$2,360 ","$2,030 "
"Tuolumne County,  California","$382,970 ","$2,360 ","$2,190 "
"Anchorage Municipality,  Alaska","$381,890 ","$2,360 ","$2,140 "
"Coweta County,  Georgia","$380,230 ","$2,350 ","$2,090 "
"Mercer County,  New Jersey","$378,810 ","$2,340 ","$2,010 "
"Harford County,  Maryland","$378,690 ","$2,340 ","$2,090 "
"Strafford County,  New Hampshire","$378,270 ","$2,330 ","$2,020 "
"Mathews County,  Virginia","$378,130 ","$2,330 ","$2,070 "
"Grafton County,  New Hampshire","$377,500 ","$2,330 ","$1,970 "
"Richmond city,  Virginia","$377,470 ","$2,330 ","$2,010 "
"Boise County,  Idaho","$377,250 ","$2,330 ","$2,140 "
"Pinal County,  Arizona","$376,850 ","$2,330 ","$2,110 "
"Dallas County,  Iowa","$376,520 ","$2,320 ","$2,090 "
"Sussex County,  New Jersey","$376,490 ","$2,320 ","$2,040 "
"Crook County,  Oregon","$375,790 ","$2,320 ","$2,140 "
"Maury County,  Tennessee","$375,740 ","$2,320 ","$2,040 "
"Brunswick County,  North Carolina","$375,440 ","$2,320 ","$1,970 "
"Parker County,  Texas","$375,430 ","$2,320 ","$2,120 "
"Dakota County,  Minnesota","$375,290 ","$2,320 ","$2,120 "
"Cabarrus County,  North Carolina","$375,200 ","$2,320 ","$2,060 "
"Henrico County,  Virginia","$375,080 ","$2,310 ","$2,000 "
"Chesterfield County,  Virginia","$374,640 ","$2,310 ","$2,000 "
"Saratoga County,  New York","$373,510 ","$2,300 ","$1,980 "
"Livingston County,  Michigan","$372,960 ","$2,300 ","$2,030 "
"Lee County,  Florida","$372,770 ","$2,300 ","$2,100 "
"DeKalb County,  Georgia","$372,400 ","$2,300 ","$2,050 "
"Moore County,  North Carolina","$371,650 ","$2,290 ","$1,970 "
"Ulster County,  New York","$370,750 ","$2,290 ","$1,960 "
"Tillamook County,  Oregon","$370,580 ","$2,290 ","$2,110 "
"Grand Traverse County,  Michigan","$370,560 ","$2,290 ","$1,950 "
"Indian River County,  Florida","$370,250 ","$2,280 ","$2,000 "
"Kent County,  Rhode Island","$370,080 ","$2,280 ","$1,970 "
"Ketchikan Gateway Borough,  Alaska","$368,690 ","$2,270 ","$2,100 "
"Jefferson County,  Montana","$368,680 ","$2,270 ","$2,060 "
"St. Croix County,  Wisconsin","$368,290 ","$2,270 ","$2,080 "
"Klickitat County,  Washington","$368,060 ","$2,270 ","$2,050 "
"Columbia County,  Oregon","$367,690 ","$2,270 ","$2,120 "
"Fort Bend County,  Texas","$367,360 ","$2,270 ","$2,040 "
"Lincoln County,  South Dakota","$365,800 ","$2,260 ","$1,990 "
"St. Lucie County,  Florida","$365,590 ","$2,260 ","$2,000 "
"Colusa County,  California","$365,130 ","$2,250 ","$2,090 "
"Union County,  Ohio","$364,080 ","$2,250 ","$1,960 "
"Grand Isle County,  Vermont","$362,800 ","$2,240 ","$1,970 "
"Kodiak Island Borough,  Alaska","$362,560 ","$2,240 ","$2,060 "
"Osceola County,  Florida","$362,290 ","$2,240 ","$2,010 "
"Curry County,  Oregon","$360,480 ","$2,220 ","$2,050 "
"Hall County,  Georgia","$360,450 ","$2,220 ","$2,060 "
"San Juan County,  Colorado","$360,220 ","$2,220 ","$2,000 "
"Shasta County,  California","$359,780 ","$2,220 ","$2,060 "
"Carbon County,  Montana","$358,500 ","$2,210 ","$2,070 "
"Bonneville County,  Idaho","$358,320 ","$2,210 ","$2,140 "
"Montgomery County,  Texas","$357,960 ","$2,210 ","$1,990 "
"Jackson County,  Georgia","$356,110 ","$2,200 ","$1,890 "
"Dorchester County,  South Carolina","$355,980 ","$2,200 ","$1,850 "
"Geauga County,  Ohio","$355,920 ","$2,200 ","$1,900 "
"Okaloosa County,  Florida","$355,610 ","$2,190 ","$2,040 "
"Sheridan County,  Wyoming","$355,540 ","$2,190 ","$1,990 "
"Charlotte County,  Florida","$354,850 ","$2,190 ","$1,990 "
"Oakland County,  Michigan","$353,710 ","$2,180 ","$1,920 "
"Douglas County,  Oregon","$353,030 ","$2,180 ","$2,010 "
"Brevard County,  Florida","$352,920 ","$2,180 ","$1,960 "
"Henderson County,  North Carolina","$352,470 ","$2,170 ","$1,930 "
"Lincoln County,  Oregon","$352,420 ","$2,170 ","$2,010 "
"Sublette County,  Wyoming","$352,420 ","$2,170 ","$1,970 "
"Carroll County,  New Hampshire","$351,870 ","$2,170 ","$1,830 "
"Iredell County,  North Carolina","$351,070 ","$2,170 ","$1,930 "
"Lake County,  Montana","$351,010 ","$2,170 ","$1,960 "
"Lake County,  Illinois","$350,620 ","$2,160 ","$1,900 "
"Pender County,  North Carolina","$350,550 ","$2,160 ","$1,840 "
"Warren County,  Ohio","$349,730 ","$2,160 ","$1,860 "
"Platte County,  Missouri","$349,640 ","$2,160 ","$1,900 "
"Sherburne County,  Minnesota","$349,580 ","$2,160 ","$1,970 "
